timestamp,message
1674759820105,bash: cannot set terminal process group (-1): Inappropriate ioctl for device
1674759820105,bash: no job control in this shell
1674759820106,"2023-01-26 19:03:38,462 sagemaker-training-toolkit INFO     Imported framework sagemaker_pytorch_container.training"
1674759820106,"2023-01-26 19:03:38,467 sagemaker-training-toolkit INFO     No GPUs detected (normal if no gpus installed)"
1674759820106,"2023-01-26 19:03:38,468 sagemaker-training-toolkit INFO     Failed to parse hyperparameter _tuning_objective_metric value average test loss to Json."
1674759820106,Returning the value itself
1674759820106,"2023-01-26 19:03:38,476 sagemaker_pytorch_container.training INFO     Block until all host DNS lookups succeed."
1674759820106,"2023-01-26 19:03:38,479 sagemaker_pytorch_container.training INFO     Invoking user training script."
1674759820106,"2023-01-26 19:03:38,653 sagemaker-training-toolkit INFO     No GPUs detected (normal if no gpus installed)"
1674759820107,"2023-01-26 19:03:38,654 sagemaker-training-toolkit INFO     Failed to parse hyperparameter _tuning_objective_metric value average test loss to Json."
1674759820107,Returning the value itself
1674759820107,"2023-01-26 19:03:38,673 sagemaker-training-toolkit INFO     No GPUs detected (normal if no gpus installed)"
1674759820107,"2023-01-26 19:03:38,674 sagemaker-training-toolkit INFO     Failed to parse hyperparameter _tuning_objective_metric value average test loss to Json."
1674759820107,Returning the value itself
1674759820107,"2023-01-26 19:03:38,693 sagemaker-training-toolkit INFO     No GPUs detected (normal if no gpus installed)"
1674759820107,"2023-01-26 19:03:38,694 sagemaker-training-toolkit INFO     Failed to parse hyperparameter _tuning_objective_metric value average test loss to Json."
1674759820107,Returning the value itself
1674759820107,"2023-01-26 19:03:38,706 sagemaker-training-toolkit INFO     Invoking user script"
1674759820107,Training Env:
1674759820110,"{
    ""additional_framework_parameters"": {
        ""sagemaker_estimator_class_name"": ""PyTorch"",
        ""sagemaker_estimator_module"": ""sagemaker.pytorch.estimator""
    },
    ""channel_input_dirs"": {
        ""testing"": ""/opt/ml/input/data/testing"",
        ""training"": ""/opt/ml/input/data/training""
    },
    ""current_host"": ""algo-1"",
    ""framework_module"": ""sagemaker_pytorch_container.training:main"",
    ""hosts"": [
        ""algo-1""
    ],
    ""hyperparameters"": {
        ""batch-size"": ""256"",
        ""lr"": 0.00607193420574796
    },
    ""input_config_dir"": ""/opt/ml/input/config"",
    ""input_data_config"": {
        ""testing"": {
            ""TrainingInputMode"": ""File"",
            ""S3DistributionType"": ""FullyReplicated"",
            ""RecordWrapperType"": ""None""
        },
        ""training"": {
            ""TrainingInputMode"": ""File"",
            ""S3DistributionType"": ""FullyReplicated"",
            ""RecordWrapperType"": ""None""
        }
    },
    ""input_dir"": ""/opt/ml/input"",
    ""is_master"": true,
    ""job_name"": ""pytorch-training-230126-1853-004-bf34313a"",
    ""log_level"": 20,
    ""master_hostname"": ""algo-1"",
    ""model_dir"": ""/opt/ml/model"",
    ""module_dir"": ""s3://sagemaker-us-east-1-265345480326/pytorch-training-2023-01-26-18-52-59-862/source/sourcedir.tar.gz"",
    ""module_name"": ""hpo"",
    ""network_interface_name"": ""eth0"",
    ""num_cpus"": 2,
    ""num_gpus"": 0,
    ""output_data_dir"": ""/opt/ml/output/data"",
    ""output_dir"": ""/opt/ml/output"",
    ""output_intermediate_dir"": ""/opt/ml/output/intermediate"",
    ""resource_config"": {
        ""current_host"": ""algo-1"",
        ""current_instance_type"": ""ml.m5.large"",
        ""current_group_name"": ""homogeneousCluster"",
        ""hosts"": [
            ""algo-1""
        ],
        ""instance_groups"": [
            {
                ""instance_group_name"": ""homogeneousCluster"",
                ""instance_type"": ""ml.m5.large"",
                ""hosts"": [
                    ""algo-1""
                ]
            }
        ],
        ""network_interface_name"": ""eth0""
    },
    ""user_entry_point"": ""hpo.py"""
1674759820110,}
1674759820110,Environment variables:
1674759820110,"SM_HOSTS=[""algo-1""]"
1674759820110,SM_NETWORK_INTERFACE_NAME=eth0
1674759820110,"SM_HPS={""batch-size"":""256"",""lr"":0.00607193420574796}"
1674759820110,SM_USER_ENTRY_POINT=hpo.py
